"id","proizvođač_id","model","godina_proizvodnje","boja","motor","snaga_motora","vrsta_goriva","broj_vrata","cijena","težina_vozila","proizvodac_id","naziv_proizvođača","sjedište_proizvođača"
1,1,"Rav4",2022,"Siva","2.5L I4",203,"Benzin",4,"29000.00","1400.00",,"Toyota","Toyota City, Japan"
1,1,"Corolla",2022,"Siva","2.0L I4",168,"Benzin",4,"25000.00","1300.00",,"Toyota","Toyota City, Japan"
2,2,"Explorer",2022,"Crvena","3.0L V6",300,"Benzin",5,"40000.00","1800.00",,"Ford","Dearborn, Michigan, SAD"
2,2,"Fiesta",2021,"Crvena","1.6L I4",120,"Benzin",4,"18000.00","1100.00",,"Ford","Dearborn, Michigan, SAD"
3,3,"Civic",2023,"Plava","1.5L I4",174,"Benzin",4,"27000.00","1200.00",,"Honda","Tokyo, Japan"
3,3,"Accord",2022,"Plava","2.0L I4",192,"Benzin",4,"27000.00","1400.00",,"Honda","Tokyo, Japan"
4,4,"X7",2023,"Crna","3.0L Inline-6",335,"Dizel",5,"55000.00","2100.00",,"BMW","Munich, Njemačka"
4,4,"3 Series",2021,"Crna","2.0L I4",255,"Benzin",4,"35000.00","1500.00",,"BMW","Munich, Njemačka"
5,5,"Jetta",2022,"Bijela","1.4L I4",147,"Benzin",4,"22000.00","1300.00",,"Volkswagen","Wolfsburg, Njemačka"
5,5,"Passat",2023,"Bijela","1.8L I4",174,"Benzin",4,"28000.00","1600.00",,"Volkswagen","Wolfsburg, Njemačka"
